id,name,year,citationcount,affiliation
p2796,Wenbin Wu,2014,32,"Hong Kong Univ Sci & Technol, Dept Comp Sci & Engn, Hong Kong, Hong Kong, Peoples R China"
p2284,Ronghua Liang,2014,32,"Zhejiang Univ Technol, Coll Informat Engn, Hangzhou, Zhejiang, Peoples R China"
p1063,Huamin Qu,2014,32,"Hong Kong Univ Sci & Technol, Dept Comp Sci & Engn, Hong Kong, Hong Kong, Peoples R China"
p2212,Richard Chimera,1994,165,"Univ. of Maryland, College Park"
p0227,Ben Shneiderman,1994,165,"Univ. of Maryland, College Park"
p1063,Huamin Qu,2009,65,The Hong Kong University of Science and Technology
p0998,Haomian Wang,2009,65,The Hong Kong University of Science and Technology
p2791,Weiwei Cui,2009,65,The Hong Kong University of Science and Technology
p2949,Yingcai Wu,2009,65,The Hong Kong University of Science and Technology
p1899,Ming-Yuen Chan,2009,65,The Hong Kong University of Science and Technology
p1132,Jae-Wook Ahn,2012,3,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p1210,Jennifer Hammock,2012,3,"Smithsonian Inst, Washington, DC USA"
p0487,Cynthia Parr,2012,3,"Smithsonian Inst, Washington, DC USA"
p1214,Jennifer Preece,2012,3,"Univ Maryland, Coll Informat Studies, College Pk, MD 20742 USA"
p0227,Ben Shneiderman,2012,3,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p1461,Katja Schulz,2012,3,"Smithsonian Inst, Washington, DC USA"
p0600,Derek L. Hansen,2012,3,"Brigham Young Univ, Sch Technol, Provo, UT 84602 USA"
p0503,Dana Rotman,2012,3,"Univ Maryland, Coll Informat Studies, College Pk, MD 20742 USA"
p3009,Yurong He,2012,3,
p0227,Ben Shneiderman,2000,647,"Univ. of Maryland, College Park"
p1063,Huamin Qu,2005,1,"Hong Kong University of Science and Technology, Hong Kong, China"
p1051,Hong Zhou,2005,1,"Hong Kong University of Science and Technology, Hong Kong, China"
p2949,Yingcai Wu,2005,1,"Hong Kong University of Science and Technology, Hong Kong, China"
p1353,Jonathan Lazar,2006,172,"Towson University, Towson, MD, USA"
p0023,Adam Jones,2006,172,"Towson University, Towson, MD, USA"
p0227,Ben Shneiderman,2006,172,"Univ. of Maryland, College Park"
p0774,Fan-Yin Tzeng,2004,102,"Department of Computer Science, University of California at Davis"
p1533,Kwan-Liu Ma,2004,102,"Department of Computer Science, University of California at Davis"
p2300,Runzhen Huang,2005,2,University of California at Davis
p1533,Kwan-Liu Ma,2005,2,University of California at Davis
p2035,Panpan Xu,2013,25,"Hong Kong University of Science and Technology, Hong Kong, China"
p0772,Fan Du,2013,25,"Zhejiang University, China"
p1941,Nan Cao,2013,25,IBM T. J. Watson Research Center
p0478,Conglei Shi,2013,25,"Hong Kong University of Science and Technology, Hong Kong, China"
p1051,Hong Zhou,2013,25,"Shenzhen University, China"
p1063,Huamin Qu,2013,25,"Hong Kong University of Science and Technology, Hong Kong, China"
p0054,Aleksander Stompel,2003,119,University of California at Davis
p1533,Kwan-Liu Ma,2003,119,University of California at Davis
p0721,Eric B. Lum,2003,119,University of California at Davis
p1147,James Ahrens,2003,119,Los Alamos National Laboratory
p1328,John Patchett,2003,119,Los Alamos National Laboratory
p1533,Kwan-Liu Ma,1999,1,"University of California, Davis, CA, USA"
p1339,John Van Rosendale,1999,1,"NASA Langley Research Center, Hampton, VA, USA"
p2510,Stephen Eick,1999,1,"Illinois Institute of Technology, Chicago, IL, USA"
p0244,Bernd Hamann,1999,1,"University of California, Davis, CA, USA"
p2095,Philip Heermann,1999,1,
p0438,Christopher Johnson,1999,1,"University of Utah, Salt Lake City, UT, USA"
p1882,Mike Krogh,1999,1,"Los Alamos National Laboratory, Los Alamos, NM, USA"
p1519,Krist Wongsuphasawat,2012,76,"Human-Computer Interaction Lab, University of Maryland, College Park, MD, USA and Department of Computer Science, University of Maryland, College Park, MD, USA"
p0340,Catherine Plaisant,2012,76,"Human-Computer Interaction Lab, University of Maryland, College Park, MD, USA"
p1800,Meirav Taieb-Maimon,2012,76,"Ben-Gurion University of the Negev, Beer-Sheva, Israel"
p0227,Ben Shneiderman,2012,76,"Human-Computer Interaction Lab, University of Maryland, College Park, MD, USA and Department of Computer Science, University of Maryland, College Park, MD, USA"
p0444,Christopher Plaue,2009,13,"Georgia Institute of Technology, Atlanta, GA, USA"
p1334,John Stasko,2009,13,"Georgia Institute of Technology, Atlanta, GA, USA"
p1708,Mark Baloga,2009,13,"Steelcase Inc, Grand Rapids, MI, USA"
p0352,Chaoli Wang,2011,59,"Michigan Tech, USA"
p1052,Hongfeng Yu,2011,59,"SNL, USA"
p2181,Ray W. Grout,2011,59,"NREL, USA"
p1533,Kwan-Liu Ma,2011,59,"UC Davis, USA"
p1129,Jacqueline H. Chen,2011,59,"SNL, USA"
p1331,John R. Goodall,2008,1,Applied Vision Laboratory
p0918,Gregory Conti,2008,1,"United States Military Academy, West Point, NY"
p1533,Kwan-Liu Ma,2008,1,"University of California, Davis"
p2463,Soon Tee Teoh,2004,78,"University of California, Davis"
p1533,Kwan-Liu Ma,2004,78,"University of California, Davis"
p2430,Shyhtsun Felix Wu,2004,78,"University of California, Davis"
p2566,T. J. Jankun-Kelly,2004,78,Mississippi State University
p0777,Fangfang Zhou,2010,23,"Information Science and Engineering School, Central South University, Changsha, China"
p2948,Ying Zhao,2010,23,"Information Science and Engineering School, Central South University, Changsha, China"
p1533,Kwan-Liu Ma,2010,23,"Department of Computer Science, University of California, Davis"
p0227,Ben Shneiderman,1982,84,"Univ. of Maryland, College Park"
p0901,Glenn Thomas,1982,84,"Kent State Univ., Kent, OH"
p2023,Ove Daae Lampe,2009,44,CMR AS and the University of Bergen
p0323,Carlos D. Correa,2009,44,UC Davis
p1533,Kwan-Liu Ma,2009,44,UC Davis
p1028,Helwig Hauser,2009,44,University of Bergen
p0464,Chunxia Xiao,2014,3,"Computer School, Wuhan University, Wuhan, Hubei, China"
p1805,Meng Liu,2014,3,"Computer School, Wuhan University, Wuhan, Hubei, China"
p0651,Donglin Xiao,2014,3,"Computer School, Wuhan University, Wuhan, Hubei, China"
p3031,Zhao Dong,2014,3,"Program of Computer Graphics, Cornell University, Ithaca, NY, USA"
p1533,Kwan-Liu Ma,2014,3,"Department of Computer Science, University of California, Davis, CA, USA"
p1533,Kwan-Liu Ma,1991,34,University of Utah
p1835,Michael F. Cohen,1991,34,University of Utah
p1159,James S. Painter,1991,34,University of Utah
p1533,Kwan-Liu Ma,2008,0,"University of California, Davis"
p1106,Issei Fujishiro,2008,0,Tohoku University
p1062,Hua Li,2008,0,Chinese Academy of Sciences
p2253,Robert Moorhead,2006,16,Mississippi State University
p0392,Chris Johnson,2006,16,University of Utah
p2578,Tamara Munzner,2006,16,University of British Columbia
p0992,Hanspeter Pfister,2006,16,Mitsubishi Electric Research Laboratories
p2075,Penny Rheingans,2006,16,University of Maryland
p2601,Terry S. Yoo,2006,16,National Institutes of Health
p1788,Max L. Wilson,2010,118,"Intelligence, Agents, Multimedia (IAM) Group, School of Electronics and Computer Science, University of Southampton, UK"
p0263,Bill Kules,2010,118,"School of Library and Information Science, The Catholic University of America, USA"
p3080,m. c. schraefel,2010,118,"Intelligence, Agents, Multimedia (IAM) Group, School of Electronics and Computer Science, University of Southampton, UK"
p0227,Ben Shneiderman,2010,118,"Department of Computer Science and Human-Computer Interaction Laboratory, University of Maryland at College Park"
p0599,Derek K. Gerstmann,2011,0,"ICRAR, University of Western Australia"
p2676,Toby Potter,2011,0,"ICRAR, University of Western Australia"
p1843,Michael Houston,2011,0,"Advanced Micro Devices, Inc."
p2056,Paul Bourke,2011,0,"iVEC, University of Western Australia"
p0133,Andreas Wicenec,2011,0,"ICRAR, University of Western Australia"
p1260,Jiansu Pu,2011,22,Hong Kong University of Science and Technology
p2035,Panpan Xu,2011,22,Hong Kong University of Science and Technology
p1063,Huamin Qu,2011,22,Hong Kong University of Science and Technology
p2791,Weiwei Cui,2011,22,Hong Kong University of Science and Technology
p2454,Siyuan Liu,2011,22,Hong Kong University of Science and Technology
p1596,Lionel Ni,2011,22,Hong Kong University of Science and Technology
p0444,Christopher Plaue,2009,29,"Georgia Institute of Technology, Atlanta, GA, USA"
p1334,John Stasko,2009,29,"Georgia Institute of Technology, Atlanta, GA, USA"
p1585,Lin Zheng,2013,7,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p0323,Carlos D. Correa,2013,7,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p1533,Kwan-Liu Ma,2013,7,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
p0323,Carlos D. Correa,2009,111,University of California at Davis
p1533,Kwan-Liu Ma,2009,111,University of California at Davis
p2709,Tung-Ju Hsieh,2010,20,"Natl Taipei Univ Technol, Taipei, Taiwan"
p0373,Cheng-Kai Chen,2010,20,"Univ Calif Davis, Davis, CA USA"
p1533,Kwan-Liu Ma,2010,20,"Univ Calif Davis, Davis, CA USA"
p0507,Daniel Archambault,2007,230,"Dept. of Comput. Sci., British Columbia Univ., Vancouver, BC"
p2578,Tamara Munzner,2007,230,"University of British Columbia, Vancouver, BC"
p0541,David Auber,2007,230,"La BRI, University of Bordeaux 1, Talence, France"
p1051,Hong Zhou,2008,274,"Computer Science & Engineering Department, The Hong Kong University of Science and Technology, Hong Kong"
p2867,Xiaoru Yuan,2008,274,"School of EECS & Key Laboratory of Machine Perception, Peking University, China"
p1063,Huamin Qu,2008,274,"Computer Science & Engineering Department, The Hong Kong University of Science and Technology, Hong Kong"
p2791,Weiwei Cui,2008,274,"Computer Science & Engineering Department, The Hong Kong University of Science and Technology, Hong Kong"
p0212,Baoquan Chen,2008,274,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China"
p0227,Ben Shneiderman,1995,2,"Univ. of Maryland, College Park"
p2949,Yingcai Wu,2013,50,"University of California, Davis, Davis"
p2869,Xiaotong Liu,2013,50,"Microsoft Research Asia, Beijing"
p2418,Shixia Liu,2013,50,"Microsoft Research Asia, Beijing"
p1533,Kwan-Liu Ma,2013,50,"University of California, Davis, Davis"
p1015,He Liu,2011,136,The Hong Kong University of Science and Technology
p2983,Yuan Gao,2011,136,The Hong Kong University of Science and Technology
p1620,Lu Lu,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
p2454,Siyuan Liu,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
p1063,Huamin Qu,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
p1595,Lionel M. Ni,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
p0263,Bill Kules,2006,92,"University of Maryland, College Park, MD"
p1118,Jack Kustanowitz,2006,92,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2006,92,"University of Maryland, College Park, MD"
p2773,Wai-Ho Mak,2011,6,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China"
p2949,Yingcai Wu,2011,6,"Department of Computer Science, The University of California, Davis, CA"
p1899,Ming-Yuen Chan,2011,6,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China"
p1063,Huamin Qu,2011,6,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China"
p1132,Jae-Wook Ahn,2011,91,"Department of Computer Science and Human-Computer Interaction Lab, University of Maryland, College Park, MD"
p1800,Meirav Taieb-Maimon,2011,91,"Ben-Gurion University of the Negev, Beer-Sheva, Israel"
p0206,Awalin Sopan,2011,91,"Department of Computer Science and Human-Computer Interaction Lab, University of Maryland, College Park, MD"
p0340,Catherine Plaisant,2011,91,"Human-Computer Interaction Lab, University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2011,91,"Department of Computer Science and Human-Computer Interaction Lab, University of Maryland, College Park, MD"
p0263,Bill Kules,2003,12,"University of Maryland at College Park, College Park, MD"
p0227,Ben Shneiderman,2003,12,"University of Maryland at College Park, College Park, MD"
p0227,Ben Shneiderman,1978,182,"University of Maryland at College Park, College Park, MD"
p0140,Andrew Sears,1991,549,"Department of Computer Science, University of Maryland, College Park, MD 20742 USA"
p0227,Ben Shneiderman,1991,549,University of Maryland
p2592,Tarik Crnovrsanin,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
p1101,Isaac Liao,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
p2950,Yingcai Wuy,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
p1533,Kwan-Liu Ma,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
p1899,Ming-Yuen Chan,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
p1063,Huamin Qu,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
p2949,Yingcai Wu,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
p3077,haibo zhou,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
p1111,J. Edward Swan II,1999,7,Naval Researchr Lab
p2606,Theresa-Marie Rhyne,1999,7,EPA
p0558,David H. Laidlaw,1999,7,Brown University
p2578,Tamara Munzner,1999,7,"Stanford University, Stanford, CA"
p2757,Victoria Interrante,1999,7,"University of Minnesota, Minneapolis, MN"
p2333,Sana Malik,2013,47,"University of Maryland, College Park, MD"
p0085,Alison Smith,2013,47,"University of Maryland, College Park, MD and DECISIVE ANALYTICS Corporation, Arlington, VA"
p2657,Timothy Hawes,2013,47,"DECISIVE ANALYTICS Corporation, Arlington, VA"
p2031,Panagis Papadatos,2013,47,"University of Maryland, College Park, MD"
p1261,Jianyu Li,2013,47,"University of Maryland, College Park, MD"
p0473,Cody Dunne,2013,47,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2013,47,"University of Maryland, College Park, MD"
p0206,Awalin Sopan,2013,12,"Univ Maryland, Dept Comp Sci, 4320 Rowalt Dr, College Pk, MD 20742 USA"
p1657,Manuel Freire,2013,12,"Univ Complutense Madrid, Dept Comp Sci, E-28040 Madrid, Spain"
p1800,Meirav Taieb-Maimon,2013,12,"Ben Gurion Univ Negev, Dept Informat Syst Engn, IL-84105 Beer Sheva, Israel"
p0340,Catherine Plaisant,2013,12,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p1209,Jennifer Golbeck,2013,12,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p0227,Ben Shneiderman,2013,12,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p0678,Eduard Groller,2005,0,IEEE Computer Society
p1533,Kwan-Liu Ma,2005,0,"University of California, Davis"
p1508,Klaus Mueller,2005,0,IEEE Computer Society
p0227,Ben Shneiderman,1988,1,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
p1324,John M. Carroll,1988,1,"IBM T J Watson Res Ctr, Yorktown Heights, NY 10598 USA"
p0227,Ben Shneiderman,2001,81,"Univ. of Maryland, College Park"
p1007,Harry Hochheiser,2001,81,"Univ. of Maryland, College Park"
p3080,m. c. schraefel,2009,0,"University of Southampton, Southampton, United Kingdom"
p2055,Paul André,2009,0,"University of Southampton, Southampton, United Kingdom"
p2309,Ryen White,2009,0,"Microsoft Research, Redmond, WA, USA"
p0601,Desney S. Tan,2009,0,"Microsoft Research, Redmond, WA, USA"
p2646,Tim Berners-Lee,2009,0,"MIT, Cambridge, USA"
p2544,Sunny Consolvo,2009,0,"Intel Research, Seattle, WA, USA"
p2242,Robert Jacobs,2009,0,"CS, Tufts, Boston, MA, USA"
p1102,Isaac S. Kohane,2009,0,"Harvard Medical School, Cambridge, MA, USA"
p0429,Christopher A. Le Dantec,2009,0,"HCC Program, Georgia Tech, USA"
p1558,Lena Mamykina,2009,0,"HCC Program, Georgia Tech, USA"
p0862,Gary Marsden,2009,0,"CS, Univesity of Cape Town, SA"
p0227,Ben Shneiderman,2009,0,"HCIL, UMaryland, College Park, MD, USA"
p2089,Peter Szolovits,2009,0,"CSAIL, MIT, Cambridge, MA, USA"
p0515,Daniel J. Weitzner,2009,0,"W3C MIT, Cambridge, MA, USA"
p1089,Ikuko Takanashi,2002,38,"Inf. Technol. R&D Center, Mitsubishi Electr. Corp., Japan|c|"
p0721,Eric B. Lum,2002,38,"Univ. of California, Davis, CA"
p1533,Kwan-Liu Ma,2002,38,"Univ. of California, Davis, CA"
p2410,Shigeru Muraki,2002,38,"AIST,Japa"
p1533,Kwan-Liu Ma,2009,199,"University of California, Davis"
p2530,Stoney Jackson,2008,12,"Deptartment of Computer Science and Information Technology, Western New England College, 1215 Wilbraham Rd., Springfield, MA 01119, United States"
p2118,Premkumar Devanbu,2008,12,"Deptartment of Computer Science, University of California, Davis, One Shields Ave., Davis, CA 95616, United States"
p1533,Kwan-Liu Ma,2008,12,"Deptartment of Computer Science, University of California, Davis, One Shields Ave., Davis, CA 95616, United States"
p0227,Ben Shneiderman,1995,55,"Human-Computer Interaction Laboratory and Institute for Systems Research, University of Maryland, College Park, MD"
p0338,Carsten Görg,2010,22,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, Atlanta, GA"
p0978,Hannah Tipney,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
p1445,Karin Verspoor,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
p2812,"William A. Baumgartner, Jr.",2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
p1419,K. Bretonnel Cohen,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
p1334,John Stasko,2010,22,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, Atlanta, GA"
p1550,Lawrence E. Hunter,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
p1063,Huamin Qu,2000,38,"Center for Visual Computing (CVC) and Department of Computer Science, State University of New York at Stony Brook"
p1898,Ming Wan,2000,38,"Center for Visual Computing (CVC) and Department of Computer Science, State University of New York at Stony Brook"
p1242,Jiafa Qin,2000,38,"Center for Visual Computing (CVC) and Department of Computer Science, State University of New York at Stony Brook"
p0178,Arie Kaufman,2000,38,"Department of Computer Science, State University of New York at Stony Brook, Stony Brook, NY"
p0810,Floyd Sykes,1983,5,
p2184,Raymund T. Tillman,1983,5,
p0227,Ben Shneiderman,1983,5,"University of Maryland, College Park"
p0227,Ben Shneiderman,2006,11,"Univ. of Maryland, College Park, MD"
p0146,Ann Bishop,2006,11,"University of Illinois, Champaign, IL"
p0221,Batya Friedman,2006,11,"Univ. of Washington, Seattle, WA"
p1353,Jonathan Lazar,2006,11,"Towson Univ., Towson, MD"
p0862,Gary Marsden,2006,11,"Univ. of Cape Town, Cape Town, South Africa"
p0471,Cliff Nass,2006,11,"Stanford University, Stanford, CA"
p2513,Stephen Ingram,2012,6,
p2578,Tamara Munzner,2012,6,
p2867,Xiaoru Yuan,2009,201,Key Laboratory of Machine Perception & Peking University
p2070,Peihong Guo,2009,201,Key Laboratory of Machine Perception & Peking University
p1016,He Xiao,2009,201,Key Laboratory of Machine Perception & Peking University
p1051,Hong Zhou,2009,201,Hong Kong University of Science and Technology
p1063,Huamin Qu,2009,201,Hong Kong University of Science and Technology
p1355,Jonathan McPherson,2004,273,University of California at Davis
p1533,Kwan-Liu Ma,2004,273,University of California at Davis
p2061,Paul Krystosk,2004,273,Lawrence Livermore National Laboratory
p2697,Tony Bartoletti,2004,273,Lawrence Livermore National Laboratory
p1751,Marvin Christensen,2004,273,Lawrence Livermore National Laboratory
p0227,Ben Shneiderman,1983,1,"University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2000,335,"Univ. of Maryland, College Park"
p0373,Cheng-Kai Chen,2011,11,"University of California, Davis"
p0390,Chris Ho,2011,11,"University of California, Davis"
p0321,Carlos Correa,2011,11,"University of California, Davis"
p1533,Kwan-Liu Ma,2011,11,"University of California, Davis"
p0032,Ahmed Elgamal,2011,11,"University of California, San Diego"
p0861,Gary Marchionini,2003,22,UNC-Chapel Hill
p2506,Stephanie Haas,2003,22,UNC-Chapel Hill
p0340,Catherine Plaisant,2003,22,University of Maryland
p0227,Ben Shneiderman,2003,22,University of Maryland
p0332,Carol Hert,2003,22,Syracuse University
p2949,Yingcai Wu,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
p1063,Huamin Qu,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
p1051,Hong Zhou,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
p1899,Ming-Yuen Chan,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
p0352,Chaoli Wang,2008,32,"Univ. of California-Davis, Davis"
p1533,Kwan-Liu Ma,2008,32,"Univ. of California-Davis, Davis"
p0968,Hank Childs,2006,96,Lawrence Livermore National Laboratory and University of California at Davis
p1709,Mark Duchaineau,2006,96,Lawrence Livermore National Laboratory
p1533,Kwan-Liu Ma,2006,96,University of California at Davis
p0340,Catherine Plaisant,1995,294,"Maryland Univ., College Park, MD, USA|c|"
p0546,David Carr,1995,294,"Maryland Univ., College Park, MD, USA"
p0227,Ben Shneiderman,1995,294,"Maryland Univ., College Park, MD, USA"
p1533,Kwan-Liu Ma,1991,1,University of Utah
p1423,K. Sikorski,1991,1,University of Utah
p1533,Kwan-Liu Ma,2001,0,"University of California, Davis"
p2564,Syavash Nobarany,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
p1618,Louise Oram,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
p2746,Vasanth Kumar Rajendran,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
p0379,Chi-Hsiang Chen,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
p1289,Joanna McGrenere,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
p2578,Tamara Munzner,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
p2988,Yubo Zhang,2012,2,"University of California, Davis"
p3031,Zhao Dong,2012,2,Cornell University
p1533,Kwan-Liu Ma,2012,2,"University of California, Davis"
p2382,Seok-Hee Hong,2007,22,"School of Computer Science and Software Engineering, The University of Western Australia, Crawley, WA 6009, Australia"
p1533,Kwan-Liu Ma,2007,22,"University of California, Davis"
p1374,Joyce Ma,2012,61,Exploratorium
p1101,Isaac Liao,2012,61,"University of California, Davis"
p1533,Kwan-Liu Ma,2012,61,"University of California, Davis"
p1207,Jennifer Frazier,2012,61,Exploratorium
p0151,Anna Tikhonova,2011,34,"University of California, Davis"
p1052,Hongfeng Yu,2011,34,Sandia National Laboratories
p0323,Carlos D. Correa,2011,34,Lawrence Livermore National Laboratory
p1129,Jacqueline H. Chen,2011,34,Sandia National Laboratories
p1533,Kwan-Liu Ma,2011,34,"University of California, Davis"
p2578,Tamara Munzner,2009,1035,University of British Columbia
p1941,Nan Cao,2012,200,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p2979,Yu-Ru Lin,2012,200,"Northeastern Univ, Boston, MA USA"
p2858,Xiaohua Sun,2012,200,"Tongji Univ, Shanghai, Peoples R China"
p0562,David Lazer,2012,200,"Northeastern Univ, Boston, MA USA"
p2418,Shixia Liu,2012,200,"Microsoft Research Asia, China"
p1063,Huamin Qu,2012,200,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p0506,Daniel A. Keim,2004,0,"University of Konstanz, Germany"
p2578,Tamara Munzner,2004,0,"Department of Computer and Information Science, University of Constance, 78457 Konstanz, Germany"
p2508,Stephen C. North,2004,0,"AT&T Labs Research, Florham Park, NJ"
p0227,Ben Shneiderman,1994,54,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742"
p0340,Catherine Plaisant,1994,54,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742"
p1284,Jishang Wei,2011,26,"University of California, Davis, USA"
p1052,Hongfeng Yu,2011,26,"Sandia National Laboratories, USA"
p2181,Ray W. Grout,2011,26,"National Renewable Energy Laboratory, USA"
p1129,Jacqueline H. Chen,2011,26,"Sandia National Laboratories, USA"
p1533,Kwan-Liu Ma,2011,26,"University of California, Davis, USA"
p2578,Tamara Munzner,1998,152,"Stanford Univ, 360 Gates GS Bldg 3B, Stanford, CA 94305 USA"
p1234,Ji Soo Yi,2005,244,"Laboratory for Human-Computer Interaction and Health Care Informatics, School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA"
p2153,Rachel Melton,2005,244,"College of Computing/GVU Center, Georgia Institute of Technology, Atlanta, GA"
p1334,John Stasko,2005,244,"College of Computing/GVU Center, Georgia Institute of Technology, Atlanta, GA"
p1390,Julie A. Jacko,2005,244,"Laboratory for Human-Computer Interaction and Health Care Informatics, School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA"
p2566,T. J. Jankun-Kelly,2003,61,"California Univ., Davis, CA, USA"
p2014,Oliver Kreylos,2003,61,"California Univ., Davis, CA, USA"
p1533,Kwan-Liu Ma,2003,61,"California Univ., Davis, CA, USA"
p0244,Bernd Hamann,2003,61,"California Univ., Davis, CA, USA"
p1486,Kenneth I. Joy,2003,61,"California Univ., Davis, CA, USA"
p1333,John Shalf,2003,61,Lawrence Berkeley National Laboratory
p0668,E. Wes Bethel,2003,61,Lawrence Berkeley National Laboratory
p1260,Jiansu Pu,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p2454,Siyuan Liu,2013,75,"Carnegie Mellon Univ, Pittsburgh, PA 15213 USA"
p2924,Ye Ding,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p1063,Huamin Qu,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p1596,Lionel Ni,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
p0053,Aleks Aris,2007,70,"Computer Science Department & Human-Computer Interaction Lab, University of Maryland, College Park, MD"
p0227,Ben Shneiderman,2007,70,"Computer Science Department & Human-Computer Interaction Lab, University of Maryland, College Park, MD"
p1225,Jeremy S. Meredith,2001,51,Lawrence Livermore National Laboratory
p1533,Kwan-Liu Ma,2001,51,"University of California, Davis"
p1533,Kwan-Liu Ma,1997,51,"Institute for Computer Applications in Science and Engineering (ICASE), NASA Langley Research Center, Hampton, Virginia"
p2757,Victoria Interrante,1997,51,"Institute for Computer Applications in Science and Engineering (ICASE), NASA Langley Research Center, Hampton, Virginia"
p3063,Zhuwen Li,2012,47,"Zhejiang University, Hangzhou"
p2458,Song Wang,2012,47,"Zhejiang University, Hangzhou"
p1280,Jinhui Yu,2012,47,"Zhejiang University, Hangzhou"
p1533,Kwan-Liu Ma,2012,47,"University of California-Davis, Davis"
p1133,Jae-wook Ahn,2014,131,"University of Maryland, College Park"
p0340,Catherine Plaisant,2014,131,"University of Maryland, College Park"
p0227,Ben Shneiderman,2014,131,"University of Maryland, College Park"
p1489,Kent L. Norman,1986,118,"Univ. of Maryland, College Park"
p1589,Linda J. Weldon,1986,118,"Univ. of Maryland, College Park"
p0227,Ben Shneiderman,1986,118,"Univ. of Maryland, College Park"
p0151,Anna Tikhonova,2008,40,"Visualization and Interface Design Innovation Lab, University of California at Davis"
p1533,Kwan-Liu Ma,2008,40,"Visualization and Interface Design Innovation Lab, University of California at Davis"
p0227,Ben Shneiderman,2002,29,"University of Maryland, College Park, MD"
p2533,Stuart Card,2002,29,"Xerox PARC, Palo Alto, CA"
p0643,Donald A. Norman,2002,29,"Nielsen Norman Group, Northbrook, IL"
p1702,Marilyn Tremaine,2002,29,"New Jersey Institute of Technology, University Heights, Newark, NJ"
p1638,M. Mitchell Waldrop,2002,29,"Washington, DC"
