entityId,year,citationcount,affiliation,paperID
p0227,1976,9,,53e998e1b7602d970211b2a2
p1533,1999,2,,53e998f0b7602d970212ddd5
p0844,1999,2,,53e998f0b7602d970212ddd5
p0227,2000,3,"Human Computer Interaction Laboratory & Department of Computer Science, University of Maryland, College Park, MD",53e9990db7602d970214c1f7
p2688,2000,3,"Department of Psychology, Sociology and Anthropology, Drexel University, Philadelphia, PA",53e9990db7602d970214c1f7
p1048,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China",53e99915b7602d970215275c
p1063,2006,7,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China",53e99915b7602d970215275c
p2727,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China",53e99915b7602d970215275c
p3026,2006,7,"Faculty of Information Technology, Macau University of Science and Technology, Macao, China",53e99915b7602d970215275c
p1508,2006,7,"Department of Computer Science, Stony Brook University, Stony Brook",53e99915b7602d970215275c
p2578,2003,485,University of British Columbia,53e9992ab7602d9702163ad0
p0832,2003,485,University of Maryland,53e9992ab7602d9702163ad0
p2384,2003,485,Hewlett Packard Systems Research Center,53e9992ab7602d9702163ad0
p1573,2003,485,Hewlett Packard Systems Research Center,53e9992ab7602d9702163ad0
p3007,2003,485,Hewlett Packard Systems Research Center,53e9992ab7602d9702163ad0
p0954,2005,18,"Univ Maryland, Human Comp Interact Lab, College Pk, MD 20742 USA",53e99952b7602d970218f6b7
p0227,2005,18,,53e99952b7602d970218f6b7
p0227,2005,0,,53e99952b7602d9702190f6f
p0151,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA",53e99953b7602d970219536c
p0323,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA",53e99953b7602d970219536c
p1533,2010,64,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA",53e99953b7602d970219536c
p0962,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT",53e99959b7602d970219879b
p0445,1996,138,"Department of Computer Science, University of Utah, Salt Lake City, UT",53e99959b7602d970219879b
p1533,1996,138,"ICASE, NASA Langley Research Center, Hampton, Virginia",53e99959b7602d970219879b
p0026,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742",53e9995ab7602d970219d703
p0227,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and Department of Computer Science, University of Maryland, College Park, MD 20742",53e9995ab7602d970219d703
p0658,2006,63,"Human–Computer Interaction Lab, Institute for Advanced Computer Studies and College of Information Studies, University of Maryland, College Park, MD 20742",53e9995ab7602d970219d703
p1956,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
p1045,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
p1533,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
p0009,2005,30,"Department of Computer Science, The University of California, Davis",53e9996eb7602d97021ad4cd
p1294,2005,30,"Department of Computer Science, The University of Utah",53e9996eb7602d97021ad4cd
p1793,2004,26,Université de Bordeaux I,53e99984b7602d97021c2ba7
p2578,2004,26,University of British Columbia,53e99984b7602d97021c2ba7
p0541,2004,26,Université de Bordeaux I,53e99984b7602d97021c2ba7
p1188,2004,26,Université de Bordeaux I,53e99984b7602d97021c2ba7
p1260,2012,6,,53e9998ab7602d97021cab6a
p2454,2012,6,,53e9998ab7602d97021cab6a
p1063,2012,6,,53e9998ab7602d97021cab6a
p1595,2012,6,,53e9998ab7602d97021cab6a
p0395,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD",53e99997b7602d97021d89db
p0227,2000,424,"Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, College Park, MD",53e99997b7602d97021d89db
p2429,1997,158,"Dept. of Comput. Sci., Nat. Taiwan Ocean Univ., Keelung, Taiwan",53e99998b7602d97021dbece
p0430,1997,158,"Department of Computer Science, University of Utah, Salt Lake, UT, USA",53e99998b7602d97021dbece
p1533,1997,158,"Institute for Computer Applications in Science and Engineering (ICASE), NASA-Langley Research Center, Hampton, VA, USA",53e99998b7602d97021dbece
p0745,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA.",53e99998b7602d97021de4a5
p0227,2003,26,"Department of Computer Science and Human Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD 20742, USA",53e99998b7602d97021de4a5
p0053,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742",53e999a5b7602d97021ea686
p0227,2009,31,"Department of Computer Science and Human–Computer Interaction Lab, University of Maryland, College Park, MD 20742",53e999a5b7602d97021ea686
p2736,2009,31,"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI 48109",53e999a5b7602d97021ea686
p0659,2009,31,"Univ Michigan, Dept Elect Engn & Comp Sci, Ann Arbor, MI 48109 USA",53e999a5b7602d97021ea686
p1956,2007,89,IEEE,53e999b4b7602d97021f80c1
p1533,2007,89,IEEE,53e999b4b7602d97021f80c1
p0431,1994,305,"Dept. of Computer Science, Chalmers University of Technology, S-412 96 Göteborg, Sweden and Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Resea ...",53e999cab7602d970220dd00
p0227,1994,305,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD",53e999cab7602d970220dd00
p0026,2008,263,"University of Maryland, College Park, MD, USA",53e999cbb7602d97022115d7
p0227,2008,263,"University of Maryland, College Park, MD, USA",53e999cbb7602d97022115d7
p1773,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
p0476,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
p2030,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
p0227,1984,83,"Univ. of Maryland, College Park, MD",53e999d2b7602d9702215e6a
p0394,2009,68,"University of California, Davis, USA",53e999d2b7602d9702218ec1
p1533,2009,68,"University of California, Davis, USA",53e999d2b7602d9702218ec1
p0227,1995,1,"University of Maryland, College Park, MD",53e999e7b7602d970222ade1
p0828,2013,5,"University of California, Davis, California",53e999e7b7602d970222da11
p1052,2013,5,"University of Nebraska, Lincoln, Nebraska",53e999e7b7602d970222da11
p1533,2013,5,"University of California, Davis, California",53e999e7b7602d970222da11
p0227,1980,10,,53e999e7b7602d970222fa1d
p0901,1980,10,,53e999e7b7602d970222fa1d
p1533,2006,24,"Department of Computer Science, University of California at Davis",53e999f5b7602d970223e602
p0227,1996,1,,53e99a04b7602d9702250811
p0227,1974,0,,53e99a0ab7602d9702259218
p1809,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States",53e99a0ab7602d970225a1e5
p2418,2012,230,"Microsoft Research Asia, Beijing, China",53e99a0ab7602d970225a1e5
p0849,2012,230,"Microsoft Research Asia, Beijing, China",53e99a0ab7602d970225a1e5
p2949,2012,230,"University of California at Davis, Davis, California, United States",53e99a0ab7602d970225a1e5
p1334,2012,230,"Georgia Institute of Technology, Atlanta, GA, United States",53e99a0ab7602d970225a1e5
p1533,2012,230,"University of California at Davis, Davis, California, United States",53e99a0ab7602d970225a1e5
p0227,1997,10,Univ. of Maryland at College Park,53e99a0eb7602d970225c8e3
p2429,1996,122,"UNIV UTAH, DEPT COMP SCI, SALT LAKE CITY, UT 84112 USA",53e99a1ab7602d970226f94a
p0447,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA",53e99a1ab7602d970226f94a
p1533,1996,122,"NASA, LANGLEY RES CTR, INST COMP APPLICAT SCI & ENGN, HAMPTON, VA 23681 USA",53e99a1ab7602d970226f94a
p0227,1998,220,"Department of Computer Science and Human-Computer Interaction Laboratory, University of Maryland, College Park",53e99a2ab7602d9702282405
p0644,1998,220,"Computer Science Department, University of Massachusetts, Amherst and Advanced Music Notation Systems, Inc., Williamsburg, Mass.",53e99a2ab7602d9702282405
p2770,1998,220,"Department of Computer Science and Intelligent Information Retrieval, University of Massachusetts, Amherst",53e99a2ab7602d9702282405
p1614,1997,19,,53e99a2bb7602d97022861ec
p2295,1997,19,,53e99a2bb7602d97022861ec
p1513,1997,19,,53e99a2bb7602d97022861ec
p0334,1997,19,,53e99a2bb7602d97022861ec
p2223,1997,19,,53e99a2bb7602d97022861ec
p0227,1997,19,,53e99a2bb7602d97022861ec
p0286,1991,22,,53e99a2bb7602d9702287915
p0087,1991,22,,53e99a2bb7602d9702287915
p0566,1991,22,,53e99a2bb7602d9702287915
p0544,1991,22,,53e99a2bb7602d9702287915
p0227,1991,22,,53e99a2bb7602d9702287915
p0227,1986,78,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742, USA",53e99a2fb7602d970228971a
p1864,2012,828,University of British Columbia,53e99a35b7602d9702296695
p1908,2012,828,University of Utah,53e99a35b7602d9702296695
p2578,2012,828,University of British Columbia,53e99a35b7602d9702296695
p0227,1981,0,"Department of Computer Science, University of Maryland, College Park, MD 20742, USA",53e99a3cb7602d970229bf4e
p1533,1993,19,"ICASE, NASA Langley Research Center, Hampton, Virginia",53e99a3cb7602d970229d59a
p2097,1993,19,"University of Utah, Salt Lake City, Utah",53e99a3cb7602d970229d59a
p1334,1992,188,,53e99a43b7602d97022a3014
p0998,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
p2791,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
p1051,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
p2949,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
p1063,2009,2,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e99a91b7602d9702304fce
p0293,2002,41,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA",53e99a92b7602d9702307e41
p0721,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99a92b7602d9702307e41
p1533,2002,41,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99a92b7602d9702307e41
p0373,2008,9,,53e99a98b7602d970230f786
p2302,2008,9,,53e99a98b7602d970230f786
p1533,2008,9,,53e99a98b7602d970230f786
p0298,1991,2238,,53e99aa5b7602d970231b53d
p0227,1991,2238,,53e99aa5b7602d970231b53d
p1282,2006,119,IEEE Computer Society,53e99aa6b7602d970231e68c
p0227,2006,119,IEEE,53e99aa6b7602d970231e68c
p2988,2011,15,,53e99aabb7602d97023226b7
p0323,2011,15,,53e99aabb7602d97023226b7
p1533,2011,15,,53e99aabb7602d97023226b7
p1334,2006,0,,53e99aacb7602d9702325b69
p1772,2006,0,,53e99aacb7602d9702325b69
p1063,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
p1942,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
p2171,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
p0177,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
p1508,2004,14,Stony Brook University,53e99ab2b7602d970232a06d
p0337,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu",53e99abeb7602d970233d479
p3045,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu",53e99abeb7602d970233d479
p1960,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: justneel@gmail.com",53e99abeb7602d970233d479
p1441,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu",53e99abeb7602d970233d479
p1334,2007,21,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu",53e99abeb7602d970233d479
p0323,2009,87,"University of California, Davis, USA",53e99ac4b7602d97023408c7
p1533,2009,87,"University of California, Davis, USA",53e99ac4b7602d97023408c7
p1533,2008,1,University of California at Davis,53e99ac4b7602d9702344f6f
p2949,2011,0,,53e99ad0b7602d9702350df2
p1533,2011,0,,53e99ad0b7602d9702350df2
p1533,2012,199,"University of California, Davis",53e99ad1b7602d970235347b
p1079,2012,199,"University of California, Davis",53e99ad1b7602d970235347b
p1109,2012,199,The Exploratorium,53e99ad1b7602d970235347b
p0944,2012,199,University of Bergen,53e99ad1b7602d970235347b
p0945,2012,199,NASA Goddard Space Flight Center,53e99ad1b7602d970235347b
p0813,1996,1,,53e99ad7b7602d9702359958
p0225,1996,1,,53e99ad7b7602d9702359958
p2092,1996,1,,53e99ad7b7602d9702359958
p0227,1996,1,,53e99ad7b7602d9702359958
p2977,2013,49,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave,2063 Kemper Hall, Davis, CA 95616 USA",53e99addb7602d97023626c7
p0322,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99addb7602d97023626c7
p1533,2013,49,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e99addb7602d97023626c7
p1795,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
p2285,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
p0990,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
p0340,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
p0227,2013,318,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland",53e99ae1b7602d970236609d
p2813,2009,344,"Pacific Northwest National Laboratory, Richland, WA",53e99aecb7602d9702375a20
p1334,2009,344,"Georgia lristitute of Technology, Atlanta, GA",53e99aecb7602d9702375a20
p2190,2009,344,"University of North Carolina at Charlotte, Charlotte, NC",53e99aecb7602d9702375a20
p2604,2009,344,"National lnstitute of Standards and Technology, Gaithersburg, MD",53e99aecb7602d9702375a20
p1063,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
p0788,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
p1942,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
p0177,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
p1898,2003,36,"SUNY Stony Brook, CVC, Stony Brook, NY 11794 USA",53e99b0ab7602d970239a69d
p1764,2004,160,University of British Columbia,53e99b16b7602d97023a6781
p2578,2004,160,University of British Columbia,53e99b16b7602d97023a6781
p2216,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
p1373,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
p1377,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
p0227,1983,185,"Univ. of Maryland, College Park",53e99b2cb7602d97023c5833
p0227,2000,1,,53e99b2cb7602d97023c93db
p0227,2006,296,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA",53e99b43b7602d97023e4404
p0886,2006,296,,53e99b43b7602d97023e4404
p1752,2006,296,,53e99b43b7602d97023e4404
p1912,2006,296,,53e99b43b7602d97023e4404
p0286,2006,296,,53e99b43b7602d97023e4404
p1588,2006,296,,53e99b43b7602d97023e4404
p0735,2006,296,,53e99b43b7602d97023e4404
p1879,2006,296,,53e99b43b7602d97023e4404
p0694,2006,296,,53e99b43b7602d97023e4404
p2629,2006,296,,53e99b43b7602d97023e4404
p2029,2006,296,,53e99b43b7602d97023e4404
p0263,2006,296,,53e99b43b7602d97023e4404
p1527,2006,296,,53e99b43b7602d97023e4404
p1179,2006,296,,53e99b43b7602d97023e4404
p2173,2006,296,,53e99b43b7602d97023e4404
p2597,2006,296,,53e99b43b7602d97023e4404
p0695,2006,296,,53e99b43b7602d97023e4404
p1817,2006,296,,53e99b43b7602d97023e4404
p1310,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA",53e99b4ab7602d97023ed63f
p0202,2011,12,"Department of Art, University of Maryland, USA",53e99b4ab7602d97023ed63f
p0340,2011,12,"HCIL, University of Maryland, UMIACS, USA",53e99b4ab7602d97023ed63f
p0227,2011,12,"HCIL & Department of Computer Science, University of Maryland, USA",53e99b4ab7602d97023ed63f
p0330,2013,28,"Univ Calif Davis, Davis, CA 95616 USA",53e99b56b7602d97023f763a
p0394,2013,28,"Univ Calif Davis, Davis, CA 95616 USA",53e99b56b7602d97023f763a
p1533,2013,28,"Univ Calif Davis, Davis, CA 95616 USA",53e99b56b7602d97023f763a
p1172,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA",53e99b56b7602d97023f763a
p1437,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA",53e99b56b7602d97023f763a
p2255,2013,28,"Argonne Natl Lab, Math & Comp Sci Div, Argonne, IL 60439 USA",53e99b56b7602d97023f763a
p2778,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
p3064,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
p2459,2009,74,"Department of Computer Science and Engineering,Mississippi State University",53e99b63b7602d970240c244
p0150,2009,74,Brown University,53e99b63b7602d970240c244
p2509,2009,74,Brown University,53e99b63b7602d970240c244
p1063,2009,74,"Department of Computer Science and Engineering,The Hong Kong University of Science and Technology",53e99b63b7602d970240c244
p1311,2009,74,"College of Veterinary Medicine, Mississippi State University",53e99b63b7602d970240c244
p0551,2009,74,Brigham and Women’s Hospital,53e99b63b7602d970240c244
p3046,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
p2143,2009,74,"State Key Lab of CAD&CG,Zhejiang University",53e99b63b7602d970240c244
p2592,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States",53e99b86b7602d970242aab1
p0394,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States",53e99b86b7602d970242aab1
p2238,2014,69,"Department of Sociology, 2247 Social Science and Humanities, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States",53e99b86b7602d970242aab1
p0613,2014,69,"Department of Sociology, Pennsylvania State University, Oswald Tower, University Park, PA 16802, United States",53e99b86b7602d970242aab1
p1533,2014,69,"Department of Computer Science, 2063 Kemper Hall, University of California-Davis, One Shields Avenue, Davis, CA 95616, United States",53e99b86b7602d970242aab1
p1077,2006,22,"Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland at College Park, College Par ...",53e99b9bb7602d970244188c
p0227,2006,22,"Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland at College Park, College Par ...",53e99b9bb7602d970244188c
p0227,2006,628,University of Maryland,53e99ba3b7602d970244d163
p0340,2006,628,University of Maryland,53e99ba3b7602d970244d163
p0444,2004,94,"Georgia Institute of Technology, Atlanta, GA",53e99bcdb7602d9702477f67
p2681,2004,94,"Georgia Institute of Technology, Atlanta, GA",53e99bcdb7602d9702477f67
p1334,2004,94,"Georgia Institute of Technology, Atlanta, GA",53e99bcdb7602d9702477f67
p0320,1995,0,Machover Associates Corporation,53e99bd5b7602d9702481863
p0864,1995,0,Silicon Graphics,53e99bd5b7602d9702481863
p2578,1995,0,"Geometry Center, University of Minnesota",53e99bd5b7602d9702481863
p0767,1995,0,Apple Computer,53e99bd5b7602d9702481863
p2739,1995,0,NASA Ames Research Center,53e99bd5b7602d9702481863
p0227,1990,1,,53e99bdcb7602d9702487476
p2977,2010,14,,53e99bf0b7602d970249a576
p1503,2010,14,,53e99bf0b7602d970249a576
p1533,2010,14,,53e99bf0b7602d970249a576
p1533,2013,44,"University of California, Davis",53e99bf8b7602d97024a4efa
p0398,2013,44,"University of California, Davis",53e99bf8b7602d97024a4efa
p2508,2004,0,,53e99bfeb7602d97024a88de
p2578,2004,0,,53e99bfeb7602d97024a88de
p2712,1997,18,"SUNY Stony Brook, Dept Comp Sci, Stony Brook, NY 11794 USA",53e99c04b7602d97024b2ae4
p1533,1997,18,"SUNY Stony Brook, Dept Comp Sci, Stony Brook, NY 11794 USA",53e99c04b7602d97024b2ae4
p0227,1998,2,"Human-Computer Interaction Laboratory, University of Maryland, College Park, MD",53e99c0bb7602d97024b797e
p0340,1998,2,"Human-Computer Interaction Laboratory, University of Maryland, College Park, MD",53e99c0bb7602d97024b797e
p2270,1997,137,"BDM Int, 1501 BDM Way, Mclean, VA 22101 USA",53e99c12b7602d97024bcea9
p0227,1997,137,,53e99c12b7602d97024bcea9
p0263,2004,44,"Takoma Software, Inc., 7006 Poplar Avenue, Takoma Park, MD 20912, USA",53e99c52b7602d97024ff79c
p1077,2004,44,"Department of Computer Science, Human–Computer Interaction Laboratory, Institute for Advanced Computer Studies and Institute for Systems Research, University of Maryland at College Park, College Park, MD 20742, USA",53e99c52b7602d97024ff79c
